from,to,vote,relationship,year,weight
Vítor Serpa,Lamine Yamal,3,4,2024,NA
Vítor Serpa,Vinícius Jr,1,4,2024,NA
Kepler Ferreira,Bernardo Silva,5,1,2023,NA
Kepler Ferreira,Erling Haaland,3,4,2023,NA
Kepler Ferreira,Victor Osimhen,1,4,2023,NA
Virgil Van Dijk,Mohamed Salah,5,2,2025,NA
Virgil Van Dijk,Ousmane Dembélé,3,4,2025,NA
Virgil Van Dijk,Nuno Mendes,1,4,2025,NA
Virgil Van Dijk,Lionel Messi,5,4,2023,NA
Virgil Van Dijk,Erling Haaland,3,4,2023,NA
Virgil Van Dijk,Kevin De Bruyne,1,4,2023,NA
Virgil Van Dijk,Vinícius Jr,5,4,2024,NA
Virgil Van Dijk,Erling Haaland,3,4,2024,NA
Virgil Van Dijk,Rodri,1,4,2024,NA
Ronald Koeman,Ousmane Dembélé,5,4,2025,NA
Ronald Koeman,Vitinha,3,4,2025,NA
Ronald Koeman,Pedri,1,4,2025,NA
Ronald Koeman,Erling Haaland,5,4,2023,NA
Ronald Koeman,Kylian Mbappé,3,4,2023,NA
Ronald Koeman,Lionel Messi,1,4,2023,NA
Ronald Koeman,Rodri,5,4,2024,NA
Ronald Koeman,Vinícius Jr,3,4,2024,NA
Ronald Koeman,Jude Bellingham,1,4,2024,NA
Jaap De Groot,Ousmane Dembélé,5,4,2025,NA
Jaap De Groot,Lamine Yamal,3,4,2025,NA
Jaap De Groot,Mohamed Salah,1,4,2025,NA
Jaap De Groot,Erling Haaland,5,4,2023,NA
Jaap De Groot,Lionel Messi,3,4,2023,NA
Jaap De Groot,Rodri,1,4,2023,NA
Jaap De Groot,Rodri,5,4,2024,NA
Jaap De Groot,Vinícius Jr,3,4,2024,NA
Jaap De Groot,Lionel Messi,1,4,2024,NA
Youri Tielemans,Ousmane Dembélé,5,4,2025,NA
Youri Tielemans,Lamine Yamal,3,4,2025,NA
Youri Tielemans,Vitinha,1,4,2025,NA
Rudi Garcia,Achraf Hakimi,5,4,2025,NA
Rudi Garcia,Kylian Mbappé,3,4,2025,NA
Rudi Garcia,Vitinha,1,4,2025,NA
Kristof Terreur,Lamine Yamal,5,4,2025,NA
Kristof Terreur,Ousmane Dembélé,3,4,2025,NA
Kristof Terreur,Vitinha,1,4,2025,NA
Kristof Terreur,Erling Haaland,5,4,2023,NA
Kristof Terreur,Kylian Mbappé,3,4,2023,NA
Kristof Terreur,Kevin De Bruyne,1,1,2023,NA
Kristof Terreur,Rodri,5,4,2024,NA
Kristof Terreur,Vinícius Jr,3,4,2024,NA
Kristof Terreur,Jude Bellingham,1,4,2024,NA
Domenico Tedesco,Kevin De Bruyne,5,1,2023,NA
Domenico Tedesco,Kylian Mbappé,3,4,2023,NA
Domenico Tedesco,Erling Haaland,1,4,2023,NA
Domenico Tedesco,Lamine Yamal,5,4,2024,NA
Domenico Tedesco,Florian Wirtz,3,4,2024,NA
Domenico Tedesco,Erling Haaland,1,4,2024,NA
Romelu Lukaku Bolingoli,Lionel Messi,5,4,2023,NA
Romelu Lukaku Bolingoli,Kylian Mbappé,3,4,2023,NA
Romelu Lukaku Bolingoli,Erling Haaland,1,4,2023,NA
Joshua Kimmich,Vitinha,5,4,2025,NA
Joshua Kimmich,Harry Kane,3,2,2025,NA
Joshua Kimmich,Pedri,1,4,2025,NA
Joshua Kimmich,Rodri,5,4,2024,NA
Joshua Kimmich,Toni Kroos,3,1,2024,NA
Joshua Kimmich,Florian Wirtz,1,1,2024,NA
Julian Nagelsmann,Vitinha,5,4,2025,NA
Julian Nagelsmann,Ousmane Dembélé,3,4,2025,NA
Julian Nagelsmann,Harry Kane,1,4,2025,NA
Julian Nagelsmann,Kylian Mbappé,5,4,2023,NA
Julian Nagelsmann,İlkay Gündoğan,3,1,2023,NA
Julian Nagelsmann,Erling Haaland,1,4,2023,NA
Julian Nagelsmann,Florian Wirtz,5,1,2024,NA
Julian Nagelsmann,Rodri,3,4,2024,NA
Julian Nagelsmann,Toni Kroos,1,1,2024,NA
İlkay Gündoğan,Erling Haaland,5,2,2023,NA
İlkay Gündoğan,Lionel Messi,3,4,2023,NA
İlkay Gündoğan,Rodri,1,4,2023,NA
Georg Holzner,Ousmane Dembélé,5,4,2025,NA
Georg Holzner,Vitinha,3,4,2025,NA
Georg Holzner,Nuno Mendes,1,4,2025,NA
Georg Holzner,Erling Haaland,5,4,2023,NA
Georg Holzner,Kevin De Bruyne,3,4,2023,NA
Georg Holzner,Kylian Mbappé,1,4,2023,NA
Georg Holzner,Rodri,5,4,2024,NA
Georg Holzner,Vinícius Jr,3,4,2024,NA
Georg Holzner,Florian Wirtz,1,1,2024,NA
Luka Modric,Vitinha,5,4,2025,NA
Luka Modric,Ousmane Dembélé,3,4,2025,NA
Luka Modric,Lamine Yamal,1,4,2025,NA
Luka Modric,Lionel Messi,5,4,2023,NA
Luka Modric,Rodri,3,4,2023,NA
Luka Modric,Marcelo Brozović,1,1,2023,NA
Luka Modric,Vinícius Jr,5,2,2024,NA
Luka Modric,Jude Bellingham,3,2,2024,NA
Luka Modric,Dani Carvajal,1,2,2024,NA
Zlatko Dalić,Ousmane Dembélé,5,4,2025,NA
Zlatko Dalić,Mohamed Salah,3,4,2025,NA
Zlatko Dalić,Pedri,1,4,2025,NA
Robert Matteoni,Ousmane Dembélé,5,4,2025,NA
Robert Matteoni,Vitinha,3,4,2025,NA
Robert Matteoni,Lamine Yamal,1,4,2025,NA
Robert Matteoni,Rodri,5,4,2023,NA
Robert Matteoni,Victor Osimhen,3,4,2023,NA
Robert Matteoni,Marcelo Brozović,1,1,2023,NA
Robert Matteoni,Rodri,5,4,2024,NA
Robert Matteoni,Vinícius Jr,3,4,2024,NA
Robert Matteoni,Toni Kroos,1,4,2024,NA
Achraf Hakimi,Kylian Mbappé,5,4,2025,NA
Achraf Hakimi,Ousmane Dembélé,3,2,2025,NA
Achraf Hakimi,Raphinha,1,4,2025,NA
Achraf Hakimi,Kylian Mbappé,5,4,2024,NA
Achraf Hakimi,Vinícius Jr,3,4,2024,NA
Achraf Hakimi,Rodri,1,4,2024,NA
Hoalid Regragui,Achraf Hakimi,5,1,2025,NA
Hoalid Regragui,Ousmane Dembélé,3,4,2025,NA
Hoalid Regragui,Lamine Yamal,1,4,2025,NA
Hoalid Regragui,Erling Haaland,5,4,2023,NA
Hoalid Regragui,Lionel Messi,3,4,2023,NA
Hoalid Regragui,Kylian Mbappé,1,4,2023,NA
Jalal Bounouar,Achraf Hakimi,5,1,2025,NA
Jalal Bounouar,Ousmane Dembélé,3,4,2025,NA
Jalal Bounouar,Kylian Mbappé,1,4,2025,NA
Walid Regragui,Vinícius Jr,5,4,2024,NA
Walid Regragui,Rodri,3,4,2024,NA
Walid Regragui,Toni Kroos,1,4,2024,NA
Romain Ghanem Saiss,Erling Haaland,5,4,2023,NA
Romain Ghanem Saiss,Kylian Mbappé,3,4,2023,NA
Romain Ghanem Saiss,Lionel Messi,1,4,2023,NA
Jalal Bouzrara,Erling Haaland,5,4,2023,NA
Jalal Bouzrara,Victor Osimhen,3,4,2023,NA
Jalal Bouzrara,Bernardo Silva,1,4,2023,NA
Jalal Bouzrara,Vinícius Jr,5,4,2024,NA
Jalal Bouzrara,Lamine Yamal,3,4,2024,NA
Jalal Bouzrara,Rodri,1,4,2024,NA
Gianluigi Donnarumma,Ousmane Dembélé,5,2,2025,NA
Gianluigi Donnarumma,Achraf Hakimi,3,2,2025,NA
Gianluigi Donnarumma,Lamine Yamal,1,4,2025,NA
Gianluigi Donnarumma,Lionel Messi,5,2,2023,NA
