from,to,vote,relationship,year
Domenico Tedesco,Erling Haaland,1,4,2024
Romelu Lukaku Bolingoli,Lionel Messi,5,4,2023
Romelu Lukaku Bolingoli,Kylian Mbappé,3,4,2023
Romelu Lukaku Bolingoli,Erling Haaland,1,4,2023
Joshua Kimmich,Vitinha,5,4,2025
Joshua Kimmich,Harry Kane,3,2,2025
Joshua Kimmich,Pedri,1,4,2025
Joshua Kimmich,Rodri,5,4,2024
Joshua Kimmich,Toni Kroos,3,1,2024
Joshua Kimmich,Florian Wirtz,1,1,2024
Julian Nagelsmann,Vitinha,5,4,2025
Julian Nagelsmann,Ousmane Dembélé,3,4,2025
Julian Nagelsmann,Harry Kane,1,4,2025
Julian Nagelsmann,Kylian Mbappé,5,4,2023
Julian Nagelsmann,İlkay Gündoğan,3,1,2023
Julian Nagelsmann,Erling Haaland,1,4,2023
Julian Nagelsmann,Florian Wirtz,5,1,2024
Julian Nagelsmann,Rodri,3,4,2024
Julian Nagelsmann,Toni Kroos,1,1,2024
İlkay Gündoğan,Erling Haaland,5,2,2023
İlkay Gündoğan,Lionel Messi,3,4,2023
İlkay Gündoğan,Rodri,1,4,2023
Georg Holzner,Ousmane Dembélé,5,4,2025
Georg Holzner,Vitinha,3,4,2025
Georg Holzner,Nuno Mendes,1,4,2025
Georg Holzner,Erling Haaland,5,4,2023
Georg Holzner,Kevin De Bruyne,3,4,2023
Georg Holzner,Kylian Mbappé,1,4,2023
Georg Holzner,Rodri,5,4,2024
Georg Holzner,Vinícius Jr,3,4,2024
Georg Holzner,Florian Wirtz,1,1,2024
Luka Modric,Vitinha,5,4,2025
Luka Modric,Ousmane Dembélé,3,4,2025
Luka Modric,Lamine Yamal,1,4,2025
Luka Modric,Lionel Messi,5,4,2023
Luka Modric,Rodri,3,4,2023
Luka Modric,Marcelo Brozović,1,1,2023
Luka Modric,Vinícius Jr,5,2,2024
Luka Modric,Jude Bellingham,3,2,2024
Luka Modric,Dani Carvajal,1,2,2024
Zlatko Dalić,Ousmane Dembélé,5,4,2025
Zlatko Dalić,Mohamed Salah,3,4,2025
Zlatko Dalić,Pedri,1,4,2025
Robert Matteoni,Ousmane Dembélé,5,4,2025
Robert Matteoni,Vitinha,3,4,2025
Robert Matteoni,Lamine Yamal,1,4,2025
Robert Matteoni,Rodri,5,4,2023
Robert Matteoni,Victor Osimhen,3,4,2023
