id;name;role;country;club
169;Dion Malone;1;Suriname;Karmiotissa Pano Polemidion
170;Victor Lindelof;1;Sweden;Manchester United
171;Granit Xhaka;1;Switzerland;Bayer 04 Leverkusen
172;Omar Khrbin;1;Syria;Al-Wahda FC
173;Teaonui Tehau;1;Tahiti;AS Vénus Mahina
174;Akhtam Nazarov;1;Tajikistan;Istiklol Dushanbe
175;Mbwana Samatta;1;Tanzania;PAOK Thessaloniki
176;Chanathip Songkrasin;1;Thailand;BG Pathum United
177;Gali Freitas;1;Timor-Leste;PSIS Semarang
178;Dakonam Ortega Djene;1;Togo;FC Getafe
179;Hemaloto Polovili;1;Tonga;Veitongo FC
180;Kevin Molino;1;Trinidad and Tobago;Defence Force
181;Ferjani Sassi;1;Tunisia;Al-Gharafa SC
182;Hakan Calhanoglu;1;Türkiye;Inter Mailand
183;Elman Tagayev;1;Turkmenistan;Ahal FK
184;Makenson Cadet;1;Turks and Caicos Islands;SWA Sharks
185;Aucho Khalid;1;Uganda;Young Africans SC
186;Mykola Matviyenko;1;Ukraine;Shakhtar Donetsk
187;Khaseif Ali;1;United Arab Emirates;Al-Jazira Club
188;Jose Gimenez;1;Uruguay;Atlético Madrid
189;Joshua Ramos;1;US Virgin Islands;Chattanooga Red Wolfes SC
190;Tim Ream;1;USA;Charlotte FC
191;Eldor Shomurodov;1;Uzbekistan;AS Rom
192;Michel Kalmalap Coulon;1;Vanuatu;Vanuatu United FC
193;Salomón Rondón;1;Venezuela;CF Pachuca
194;Manh Do;1;Vietnam;Ha Noi FC
195;Aaron Ramsey;1;Wales;UNAM Pumas
196;Harwan Alzubaidi;1;Yemen;Al-Zawraa SC
197;Lubambo Musonda;1;Zambia;1. FC Magdeburg
198;Elias Ahmad Manouchehr;2;Afghanistan;NA
199;Sylvio Mendes Campos Júnior;2;Albania;NA
200;Vladimir Petkovic;2;Algeria;NA
201;Travis Sinapati;2;American Samoa;NA
202;Koldo Alvarez De Eulate;2;Andorra;NA
203;Patrice Alain Marie Beaumelle;2;Angola;NA
204;Cleo Hamm;2;Anguilla;NA
205;Lionel Scaloni;2;Argentina;NA
206;Melikian Iegishe;2;Armenia;NA
207;Marvic Bermudez;2;Aruba;NA
208;Tony Popovic;2;Australia;NA
209;Ralf Rangnick;2;Austria;NA
210;Aykhan Abbasov;2;Azerbaijan;NA
211;Dragan Talajic;2;Bahrain;NA
212;Javier Cabrera;2;Bangladesh;NA
213;Kent Edward Hall;2;Barbados;NA
214;Carlos Alos Ferrer;2;Belarus;NA
215;Rudi Garcia;2;Belgium;NA
216;Philip Elexious Marin;2;Belize;NA
217;Gernot Rohr;2;Benin;NA
218;Michael Findlay;2;Bermuda;NA
219;Atsushi Nakamura;2;Bhutan;NA
220;Oscar Villegas;2;Bolivia;NA
221;Sergej Barbarez;2;Bosnia and Herzegovina;NA
222;Morena Ramoreboli;2;Botswana;NA
223;Carlo Ancelotti;2;Brazil;NA
224;David Pérez Asensio;2;British Virgin Islands;NA
225;Fabio Joaquim Maciel Da Silva;2;Brunei Darussalam;NA
226;Aleksandar Dimitrov;2;Bulgaria;NA
227;Brama Traoré;2;Burkina Faso;NA
228;Patrick Sangwa Mayani;2;Burundi;NA
229;Pedro Leitão Brito;2;Cabo Verde;NA
230;Koji Gyotoku;2;Cambodia;NA
231;Martin Felix Ndtoungou Mpile;2;Cameroon;NA
232;Jesse Marsch;2;Canada;NA
233;Colin Rowe;2;Cayman Islands;NA
234;Eloge Enza-Yamissi;2;Central African Republic;NA
235;Raoul Savoy;2;Chad;NA
236;Nicolas Córdova;2;Chile;NA
237;Jiayi Shao;2;China PR;NA
238;Matthew Barry Ross;2;Chinese Taipei;NA
239;Néstor Lorenzo;2;Colombia;NA
240;Stefano Cusin;2;Comoros;NA
241;Fabrizio Cesana;2;Congo;NA
242;Sébastien Desabre;2;Congo DR;NA
243;Tuka Tisam;2;Cook Islands;NA
244;Miguel Herrera Aguirre;2;Costa Rica;NA
245;Emerse Fae;2;Côte d'Ivoire;NA
246;Zlatko Dali?;2;Croatia;NA
247;Pedro Pablo Pereira Mesa;2;Cuba;NA
248;Dean Gorre;2;Curaçao;NA
249;Apostolos Mantzios;2;Cyprus;NA
250;Jaroslav Köstl;2;Czechia;NA
251;Brian Riemer;2;Denmark;NA
252;Stéphane Nado;2;Djibouti;NA
253;Ellington Sabin;2;Dominica;NA
254;Marcelo Neveleff;2;Dominican Republic;NA
255;Sebastián Beccacece;2;Ecuador;NA
256;Hossam Hassan;2;Egypt;NA
257;Hernán Gomez;2;El Salvador;NA
258;Thomas Tuchel;2;England;NA
259;Juan Micha Obiang Bicogo;2;Equatorial Guinea;NA
260;Jürgen Henn;2;Estonia;NA
261;Sifiso Ntibane;2;Eswatini;NA
262;Mesay Teferi Kassa;2;Ethiopia;NA
263;Eydun Klakstein;2;Faroe Islands;NA
264;Stephane Auvray;2;Fiji;NA
265;Jacob Friis;2;Finland;NA
266;Didier Deschamps;2;France;NA
267;Johnathan Mckinstry;2;Gambia;NA
268;Willy Sagnol;2;Georgia;NA
269;Julian Nagelsmann;2;Germany;NA
270;Nana Otto Addo;2;Ghana;NA
271;Scott Wiseman;2;Gibraltar;NA
272;Ivan Jovanovic;2;Greece;NA
273;Anthony Modeste;2;Grenada;NA
274;Ross Michael Awa;2;Guam;NA
275;Luis Fernando Tena Garduño;2;Guatemala;NA
276;Duarte Paulo;2;Guinea;NA
277;Emiliano Te;2;Guinea-Bissau;NA
278;Thomas Dooley;2;Guyana;NA
279;Sébastien Migné;2;Haiti;NA
280;Reinaldo Rueda Rivera;2;Honduras;NA
281;Ashley Westwood;2;Hong Kong China;NA
282;Marco Rossi;2;Hungary;NA
283;Arnar Gunnlaugsson;2;Iceland;NA
284;Khalid Jamil;2;India;NA
285;Nova Arianto;2;Indonesia;NA
286;Ardeshir Ghalenoei;2;IR Iran;NA
287;Graham Arnold;2;Iraq;NA
288;Ran Ben Simon;2;Israel;NA
289;Gennaro Gattuso;2;Italy;NA
290;Hajime Moriyasu;2;Japan;NA
291;Jamal Sellami;2;Jordan;NA
292;Talgat Baisufinov;2;Kazakhstan;NA
293;Benni Mccarthy;2;Kenya;NA
294;Yun Jong Su;2;Korea DPR;NA
295;Myung Bo Hong;2;Korea Republic;NA
296;Franco Foda;2;Kosovo;NA
297;Hélio Filipe Dias De Sousa;2;Kuwait;NA
298;Urmat Abdukaimov;2;Kyrgyz Republic;NA
299;Hyeokjun Ha;2;Laos;NA
