id,role,nationality,club_2025,club_2024,club_2023
Abdullah Almutairi,2,Sri Lanka,NA,NA,NA
Travis Rogers,2,St Kitts and Nevis,NA,NA,NA
Stern John,2,St Lucia,NA,NA,NA
Ezra Hendrickson,2,St Vincent and the Grenadines,NA,NA,NA
James Appiah,2,Sudan,NA,NA,NA
Stanley Menzo,2,Suriname,NA,NA,NA
Graham Potter,2,Sweden,NA,NA,NA
Murat Yakin,2,Switzerland,NA,NA,NA
Jose Lana Fernández,2,Syria,NA,NA,NA
Raimana Buluc,2,Tahiti,NA,NA,NA
Goran Stevanovic,2,Tajikistan,NA,NA,NA
Miguel Angel Gamondi,2,Tanzania,NA,NA,NA
Anthony Hudson,2,Thailand,NA,NA,NA
José Pedro Alves Salazar,2,Timor-Leste,NA,NA,NA
Dare Nibombe,2,Togo,NA,NA,NA
Kilifi Solia Uele,2,Tonga,NA,NA,NA
Dwight Yorke,2,Trinidad and Tobago,NA,NA,NA
Trabelsi Sami,2,Tunisia,NA,NA,NA
Vincenzo Montella,2,Türkiye,NA,NA,NA
Rovshen Meredov,2,Turkmenistan,NA,NA,NA
Aaron Lawrence,2,Turks and Caicos Islands,NA,NA,NA
Paul Put,2,Uganda,NA,NA,NA
Serhii Rebrov,2,Ukraine,NA,NA,NA
Olaroiu Cosmin,2,United Arab Emirates,NA,NA,NA
Marcelo Bielsa,2,Uruguay,NA,NA,NA
Terrence Jones,2,US Virgin Islands,NA,NA,NA
Mauricio Pochettino,2,USA,NA,NA,NA
Fabio Cannavaro,2,Uzbekistan,NA,NA,NA
Lars Hopp,2,Vanuatu,NA,NA,NA
