name,role,country,club
Manh Do,1,Vietnam,Ha Noi FC
Aaron Ramsey,1,Wales,UNAM Pumas
Harwan Alzubaidi,1,Yemen,Al-Zawraa SC
Lubambo Musonda,1,Zambia,1. FC Magdeburg
Elias Ahmad Manouchehr,2,Afghanistan,NA
Sylvio Mendes Campos Júnior,2,Albania,NA
Vladimir Petkovic,2,Algeria,NA
Travis Sinapati,2,American Samoa,NA
Koldo Alvarez De Eulate,2,Andorra,NA
Patrice Alain Marie Beaumelle,2,Angola,NA
Cleo Hamm,2,Anguilla,NA
Lionel Scaloni,2,Argentina,NA
Melikian Iegishe,2,Armenia,NA
Marvic Bermudez,2,Aruba,NA
Tony Popovic,2,Australia,NA
Ralf Rangnick,2,Austria,NA
Aykhan Abbasov,2,Azerbaijan,NA
Dragan Talajic,2,Bahrain,NA
Javier Cabrera,2,Bangladesh,NA
Kent Edward Hall,2,Barbados,NA
Carlos Alos Ferrer,2,Belarus,NA
Rudi Garcia,2,Belgium,NA
Philip Elexious Marin,2,Belize,NA
Gernot Rohr,2,Benin,NA
Michael Findlay,2,Bermuda,NA
Atsushi Nakamura,2,Bhutan,NA
Oscar Villegas,2,Bolivia,NA
Sergej Barbarez,2,Bosnia and Herzegovina,NA
Morena Ramoreboli,2,Botswana,NA
Carlo Ancelotti,2,Brazil,NA
David Pérez Asensio,2,British Virgin Islands,NA
Fabio Joaquim Maciel Da Silva,2,Brunei Darussalam,NA
Aleksandar Dimitrov,2,Bulgaria,NA
Brama Traoré,2,Burkina Faso,NA
Patrick Sangwa Mayani,2,Burundi,NA
Pedro Leitão Brito,2,Cabo Verde,NA
Koji Gyotoku,2,Cambodia,NA
Martin Felix Ndtoungou Mpile,2,Cameroon,NA
Jesse Marsch,2,Canada,NA
Colin Rowe,2,Cayman Islands,NA
Eloge Enza-Yamissi,2,Central African Republic,NA
Raoul Savoy,2,Chad,NA
Nicolas Córdova,2,Chile,NA
Jiayi Shao,2,China PR,NA
Matthew Barry Ross,2,Chinese Taipei,NA
Néstor Lorenzo,2,Colombia,NA
Stefano Cusin,2,Comoros,NA
Fabrizio Cesana,2,Congo,NA
Sébastien Desabre,2,Congo DR,NA
Tuka Tisam,2,Cook Islands,NA
Miguel Herrera Aguirre,2,Costa Rica,NA
Emerse Fae,2,Côte d'Ivoire,NA
Zlatko Dalić,2,Croatia,NA
Pedro Pablo Pereira Mesa,2,Cuba,NA
Dean Gorre,2,Curaçao,NA
Apostolos Mantzios,2,Cyprus,NA
Jaroslav Köstl,2,Czechia,NA
Brian Riemer,2,Denmark,NA
Stéphane Nado,2,Djibouti,NA
Ellington Sabin,2,Dominica,NA
Marcelo Neveleff,2,Dominican Republic,NA
Sebastián Beccacece,2,Ecuador,NA
Hossam Hassan,2,Egypt,NA
Hernán Gomez,2,El Salvador,NA
Thomas Tuchel,2,England,NA
Juan Micha Obiang Bicogo,2,Equatorial Guinea,NA
Jürgen Henn,2,Estonia,NA
Sifiso Ntibane,2,Eswatini,NA
Mesay Teferi Kassa,2,Ethiopia,NA
Eydun Klakstein,2,Faroe Islands,NA
Stephane Auvray,2,Fiji,NA
Jacob Friis,2,Finland,NA
Didier Deschamps,2,France,NA
Johnathan Mckinstry,2,Gambia,NA
Willy Sagnol,2,Georgia,NA
Julian Nagelsmann,2,Germany,NA
Nana Otto Addo,2,Ghana,NA
Scott Wiseman,2,Gibraltar,NA
Ivan Jovanovic,2,Greece,NA
Anthony Modeste,2,Grenada,NA
Ross Michael Awa,2,Guam,NA
Luis Fernando Tena Garduño,2,Guatemala,NA
Duarte Paulo,2,Guinea,NA
Emiliano Te,2,Guinea-Bissau,NA
Thomas Dooley,2,Guyana,NA
Sébastien Migné,2,Haiti,NA
Reinaldo Rueda Rivera,2,Honduras,NA
Ashley Westwood,2,Hong Kong China,NA
Marco Rossi,2,Hungary,NA
Arnar Gunnlaugsson,2,Iceland,NA
Khalid Jamil,2,India,NA
Nova Arianto,2,Indonesia,NA
Ardeshir Ghalenoei,2,IR Iran,NA
Graham Arnold,2,Iraq,NA
Ran Ben Simon,2,Israel,NA
Gennaro Gattuso,2,Italy,NA
Hajime Moriyasu,2,Japan,NA
Jamal Sellami,2,Jordan,NA
