from,to,vote,relationship,year,weight
Mykola Matvienko,Kylian Mbappé,5,4,2025,NA
Ali Khaseif,Mohamed Salah,5,4,2025,NA
Jose Gimenez,Ousmane Dembélé,5,4,2025,NA
Joshua Ramos,Kylian Mbappé,5,4,2025,NA
Tim Ream,Ousmane Dembélé,5,4,2025,NA
Eldor Shomurodov,Raphinha,5,4,2025,NA
Michel Kalmalap Coulon,Ousmane Dembélé,5,4,2025,NA
Salomón Rondón,Ousmane Dembélé,5,4,2025,NA
Manh Do,Ousmane Dembélé,5,4,2025,NA
Aaron Ramsey,Ousmane Dembélé,5,4,2025,NA
Harwan Alzubaidi,Ousmane Dembélé,5,4,2025,NA
Lubambo Musonda,Ousmane Dembélé,5,4,2025,NA
Elias Ahmad Manouchehr,Kylian Mbappé,5,4,2025,NA
Sylvio Mendes Campos,Ousmane Dembélé,5,4,2025,NA
Vladimir Petkovic,Ousmane Dembélé,5,4,2025,NA
Travis Sinapati,Nuno Mendes,5,4,2025,NA
Koldo Alvarez De Eulate,Lamine Yamal,5,4,2025,NA
Patrice Alain Marie Beaumelle,Achraf Hakimi,5,4,2025,NA
Cleo Hamm,Ousmane Dembélé,5,4,2025,NA
Lionel Scaloni,Kylian Mbappé,5,4,2025,NA
Melikian Iegishe,Lamine Yamal,5,4,2025,NA
Marvic Bermudez,Raphinha,5,4,2025,NA
Tony Popovic,Ousmane Dembélé,5,4,2025,NA
Ralf Rangnick,Ousmane Dembélé,5,4,2025,NA
Aykhan Abbasov,Achraf Hakimi,5,4,2025,NA
Dragan Talajic,Achraf Hakimi,5,4,2025,NA
Javier Cabrera,Ousmane Dembélé,5,4,2025,NA
Kent Edward Hall,Nuno Mendes,5,4,2025,NA
Carlos Alos Ferrer,Lamine Yamal,5,4,2025,NA
Rudi Garcia,Achraf Hakimi,5,4,2025,NA
Philip Elexious Marin,Kylian Mbappé,5,4,2025,NA
Gernot Rohr,Kylian Mbappé,5,4,2025,NA
Michael Findlay,Ousmane Dembélé,5,4,2025,NA
Atsushi Nakamura,Ousmane Dembélé,5,4,2025,NA
Oscar Villegas,Lamine Yamal,5,4,2025,NA
Sergej Barbarez,Harry Kane,5,4,2025,NA
Morena Ramoreboli,Ousmane Dembélé,5,4,2025,NA
Carlo Ancelotti,Ousmane Dembélé,5,4,2025,NA
David Pérez Asensio,Achraf Hakimi,5,4,2025,NA
Fabio Joaquim Maciel Da Silva,Raphinha,5,4,2025,NA
Aleksandar Dimitrov,Kylian Mbappé,5,4,2025,NA
Brama Traoré,Ousmane Dembélé,5,4,2025,NA
Patrick Sangwa,Ousmane Dembélé,5,4,2025,NA
Pedro Leitão Brito,Lamine Yamal,5,4,2025,NA
Koji Gyotoku,Raphinha,5,4,2025,NA
Martin Felix Ndtoungou Mpile,Lamine Yamal,5,4,2025,NA
Jesse Marsch,Raphinha,5,4,2025,NA
Colin Rowe,Lamine Yamal,5,4,2025,NA
Eloge Enza-Yamissi,Raphinha,5,4,2025,NA
Raoul Savoy,Achraf Hakimi,5,4,2025,NA
Nicolas Córdova,Pedri,5,4,2025,NA
Jiayi Shao,Ousmane Dembélé,5,4,2025,NA
Matthew Barry Ross,Vitinha,5,4,2025,NA
Néstor Lorenzo,Harry Kane,5,4,2025,NA
Stefano Cusin,Achraf Hakimi,5,4,2025,NA
Fabrizio Cesana,Achraf Hakimi,5,4,2025,NA
Sébastien Desabre,Ousmane Dembélé,5,4,2025,NA
Tuka Tisam,Achraf Hakimi,5,4,2025,NA
Miguel Herrera Aguirre,Vitinha,5,4,2025,NA
Emerse Fae,Kylian Mbappé,5,4,2025,NA
Zlatko Dalić,Ousmane Dembélé,5,4,2025,NA
Pedro Pablo Pereira Mesa,Kylian Mbappé,5,4,2025,NA
Dean Gorre,Ousmane Dembélé,5,4,2025,NA
Apostolos Mantzios,Ousmane Dembélé,5,4,2025,NA
Jaroslav Köstl,Lamine Yamal,5,4,2025,NA
Brian Riemer,Kylian Mbappé,5,4,2025,NA
Stéphane Nado,Achraf Hakimi,5,4,2025,NA
Ellington Sabin,Ousmane Dembélé,5,4,2025,NA
Marcelo Neveleff,Achraf Hakimi,5,4,2025,NA
Sebastián Beccacece,Lamine Yamal,5,4,2025,NA
Hossam Hassan,Mohamed Salah,5,1,2025,NA
Hernán Gomez,Lamine Yamal,5,4,2025,NA
Thomas Tuchel,Harry Kane,5,1,2025,NA
Juan Micha Obiang Bicogo,Ousmane Dembélé,5,4,2025,NA
Jürgen Henn,Ousmane Dembélé,5,4,2025,NA
Sifiso Ntibane,Kylian Mbappé,5,4,2025,NA
Messay Teferi,Nuno Mendes,5,4,2025,NA
Eydun Klakstein,Ousmane Dembélé,5,4,2025,NA
Stephane Auvray,Achraf Hakimi,5,4,2025,NA
Jacob Friis,Ousmane Dembélé,5,4,2025,NA
Didier Deschamps,Ousmane Dembélé,5,1,2025,NA
Johnathan Mckinstry,Achraf Hakimi,5,4,2025,NA
Willy Sagnol,Ousmane Dembélé,5,4,2025,NA
Julian Nagelsmann,Vitinha,5,4,2025,NA
Nana Otto Addo,Ousmane Dembélé,5,4,2025,NA
Scott Wiseman,Harry Kane,5,4,2025,NA
Ivan Jovanovic,Lamine Yamal,5,4,2025,NA
Anthony Modeste,Cole Palmer,5,4,2025,NA
Ross Awa,Kylian Mbappé,5,4,2025,NA
Luis Fernando Tena Garduño,Ousmane Dembélé,5,4,2025,NA
Duarte Paulo,Nuno Mendes,5,4,2025,NA
Emiliano Te,Ousmane Dembélé,5,4,2025,NA
Thomas Dooley,Achraf Hakimi,5,4,2025,NA
Sébastien Migné,Achraf Hakimi,5,4,2025,NA
Reinaldo Rueda Rivera,Ousmane Dembélé,5,4,2025,NA
Ashley Westwood,Kylian Mbappé,5,4,2025,NA
Marco Rossi,Lamine Yamal,5,4,2025,NA
Arnar Gunnlaugsson,Ousmane Dembélé,5,4,2025,NA
Khalid Jamil,Ousmane Dembélé,5,4,2025,NA
Nova Arianto,Kylian Mbappé,5,4,2025,NA
Ardeshir Ghalehnoy,Ousmane Dembélé,5,4,2025,NA
Graham Arnold,Ousmane Dembélé,5,4,2025,NA
Ran Ben Simon,Vitinha,5,4,2025,NA
Gennaro Gattuso,Kylian Mbappé,5,4,2025,NA
Hajime Moriyasu,Kylian Mbappé,5,4,2025,NA
Jamal Sellami,Achraf Hakimi,5,4,2025,NA
Talgat Baisufinov,Ousmane Dembélé,5,4,2025,NA
Benni Mccarthy,Mohamed Salah,5,4,2025,NA
Yun Jong Su,Harry Kane,5,4,2025,NA
Myung Bo Hong,Ousmane Dembélé,5,4,2025,NA
Franco Foda,Ousmane Dembélé,5,4,2025,NA
Hélio Filipe Dias De Sousa,Vitinha,5,4,2025,NA
Urmat Abdukaimov,Ousmane Dembélé,5,4,2025,NA
Hyeok-Jun Ha,Ousmane Dembélé,5,4,2025,NA
Paolo Nicolato,Harry Kane,5,4,2025,NA
Miodrag Radulovic,Ousmane Dembélé,5,4,2025,NA
Leslie Makhetha Notsi,Ousmane Dembélé,5,4,2025,NA
Alejo Cissé,Mohamed Salah,5,4,2025,NA
Konrad Fünfstück,Ousmane Dembélé,5,4,2025,NA
Edgaras Jankauskas,Kylian Mbappé,5,4,2025,NA
Jeff Strasser,Ousmane Dembélé,5,4,2025,NA
Kar Lok Kenneth Kwok,Achraf Hakimi,5,4,2025,NA
Corentin Martins,Ousmane Dembélé,5,4,2025,NA
Kalisto Pasuwa,Achraf Hakimi,5,4,2025,NA
Peter Cklamovski,Harry Kane,5,4,2025,NA
Mohamed Siyaz,Ousmane Dembélé,5,4,2025,NA
Tom Saintfiet,Achraf Hakimi,5,4,2025,NA
Emilio De Leo,Ousmane Dembélé,5,4,2025,NA
Aritz López Garay,Ousmane Dembélé,5,4,2025,NA
Guillaume Moullec,Nuno Mendes,5,4,2025,NA
Javier Aguirre,Kylian Mbappé,5,4,2025,NA
Lilian Popescu,Nuno Mendes,5,4,2025,NA
Garidmagnai Bayasgalan,Vitinha,5,4,2025,NA
Mirko Vučinić,Kylian Mbappé,5,4,2025,NA
Angus Eve,Lamine Yamal,5,4,2025,NA
Hoalid Regragui,Achraf Hakimi,5,1,2025,NA
Francisco Queriol Conde Junior,Ousmane Dembélé,5,4,2025,NA
Myo Hlaing Win,Achraf Hakimi,5,4,2025,NA
Collin Benjamin,Achraf Hakimi,5,4,2025,NA
Hari Khadka,Ousmane Dembélé,5,4,2025,NA
Ronald Koeman,Ousmane Dembélé,5,4,2025,NA
Johan Sidaner,Vitinha,5,4,2025,NA
Darren Bazeley,Ousmane Dembélé,5,4,2025,NA
Marco Antonio Figueroa Montero,Ousmane Dembélé,5,4,2025,NA
Zakariaou Ibrahim,Achraf Hakimi,5,4,2025,NA
Blagoja Milevski,Ousmane Dembélé,5,4,2025,NA
Michael Oneill,Ousmane Dembélé,5,4,2025,NA
Ståle Solbakken,Vitinha,5,4,2025,NA
Carlos Queiroz,Vitinha,5,4,2025,NA
Nolberto Albino Solano Todco,Vitinha,5,4,2025,NA
Ehab Abu Jazar,Mohamed Salah,5,4,2025,NA
Thomas Christiansen,Ousmane Dembélé,5,4,2025,NA
David Muta,Mohamed Salah,5,4,2025,NA
Gustavo Alfaro,Ousmane Dembélé,5,4,2025,NA
Manuel Barreto,Ousmane Dembélé,5,4,2025,NA
Carles Cuadrat,Lamine Yamal,5,4,2025,NA
Jan Urban,Harry Kane,5,4,2025,NA
Roberto Martinez,Nuno Mendes,5,1,2025,NA
Charlie Trout,Vitinha,5,4,2025,NA
Julen Lopetegui,Vitinha,5,4,2025,NA
Heimir Hallgrimsson,Mohamed Salah,5,4,2025,NA
Mircea Lucescu,Harry Kane,5,4,2025,NA
Valeri Karpin,Vitinha,5,4,2025,NA
Adel Amrouche,Achraf Hakimi,5,4,2025,NA
Valerio Raccuglia,Achraf Hakimi,5,4,2025,NA
Roberto Cevoli,Lamine Yamal,5,4,2025,NA
Ricardo Monsanto,Achraf Hakimi,5,4,2025,NA
Herve Renard,Lamine Yamal,5,4,2025,NA
Steve Clarke,Ousmane Dembélé,5,4,2025,NA
