from;to;weight;relationship;year;;
Aleksandar Dimitrov; Kylian Mbappé ;5;4;2025;;
Brama Traoré;Ousmane Dembélé;5;4;2025;;
Patrick Sangwa Mayani;Ousmane Dembélé;5;4;2025;;
Pedro Leitão Brito;  Lamine Yamal ;5;4;2025;;
Koji Gyotoku;   Raphinha ;5;4;2025;;
Martin Felix Ndtoungou Mpile;  Lamine Yamal ;5;4;2025;;
Jesse Marsch;   Raphinha ;5;4;2025;;
Colin Rowe;  Lamine Yamal ;5;4;2025;;
Eloge Enza-Yamissi;   Raphinha ;5;4;2025;;
Raoul Savoy;Achraf Hakimi;5;4;2025;;
Nicolas Córdova;    Pedri ;5;4;2025;;
Jiayi Shao; Ousmane Dembélé;5;4;2025;;
Matthew Barry Ross;    Vitinha ;5;4;2025;;
Néstor Lorenzo;   Harry Kane ;5;4;2025;;
Stefano Cusin;  Achraf Hakimi ;5;4;2025;;
Fabrizio Cesana;  Achraf Hakimi ;5;4;2025;;
Sébastien Desabre; Ousmane Dembélé;5;4;2025;;
Tuka Tisam;  Achraf Hakimi ;5;4;2025;;
Miguel Herrera Aguirre;    Vitinha ;5;4;2025;;
Emerse Fae;  Kylian Mbappé ;5;4;2025;;
Zlatko Dalić; Ousmane Dembélé;5;4;2025;;
Pedro Pablo Pereira Mesa;  Kylian Mbappé ;5;4;2025;;
Dean Gorre; Ousmane Dembélé;5;4;2025;;
Apostolos Mantzios; Ousmane Dembélé;5;4;2025;;
Jaroslav Köstl;  Lamine Yamal ;5;4;2025;;
Brian Riemer;  Kylian Mbappé ;5;4;2025;;
Stéphane Nado;  Achraf Hakimi ;5;4;2025;;
Ellington Sabin; Ousmane Dembélé;5;4;2025;;
Marcelo Neveleff;  Achraf Hakimi ;5;4;2025;;
Sebastián Beccacece;  Lamine Yamal ;5;4;2025;;
Hossam Hassan; Mohamed Salah ;5;1;2025;;
Hernán Gomez;  Lamine Yamal ;5;4;2025;;
Thomas Tuchel;   Harry Kane ;5;1;2025;;
Juan Micha Obiang Bicogo; Ousmane Dembélé;5;4;2025;;
Jürgen Henn; Ousmane Dembélé;5;4;2025;;
Sifiso Ntibane;  Kylian Mbappé ;5;4;2025;;
Mesay Teferi Kassa;  Nuno Mendes ;5;4;2025;;
Eydun Klakstein; Ousmane Dembélé;5;4;2025;;
Stephane Auvray;  Achraf Hakimi ;5;4;2025;;
Jacob Friis; Ousmane Dembélé;5;4;2025;;
Didier Deschamps; Ousmane Dembélé;5;1;2025;;
Johnathan Mckinstry;  Achraf Hakimi ;5;4;2025;;
Willy Sagnol; Ousmane Dembélé;5;4;2025;;
Julian Nagelsmann;Vitinha;5;4;2025;;
Nana Otto Addo;Ousmane Dembélé;5;4;2025;;
Scott Wiseman;   Harry Kane ;5;4;2025;;
Ivan Jovanovic;  Lamine Yamal ;5;4;2025;;
Anthony Modeste;  Cole Palmer ;5;4;2025;;
Ross Michael Awa;  Kylian Mbappé ;5;4;2025;;
Luis Fernando Tena Garduño;Ousmane Dembélé;5;4;2025;;
Duarte Paulo;  Nuno Mendes ;5;4;2025;;
Emiliano Te;Ousmane Dembélé;5;4;2025;;
Thomas Dooley;  Achraf Hakimi ;5;4;2025;;
Sébastien Migné;  Achraf Hakimi ;5;4;2025;;
Reinaldo Rueda Rivera;Ousmane Dembélé;5;4;2025;;
Ashley Westwood;  Kylian Mbappé ;5;4;2025;;
Marco Rossi;  Lamine Yamal ;5;4;2025;;
Arnar Gunnlaugsson;Ousmane Dembélé;5;4;2025;;
Khalid Jamil;Ousmane Dembélé;5;4;2025;;
Nova Arianto;  Kylian Mbappé ;5;4;2025;;
Ardeshir Ghalenoei;Ousmane Dembélé;5;4;2025;;
Graham Arnold;Ousmane Dembélé;5;4;2025;;
Ran Ben Simon;    Vitinha ;5;4;2025;;
Gennaro Gattuso;  Kylian Mbappé ;5;4;2025;;
Hajime Moriyasu;  Kylian Mbappé ;5;4;2025;;
Jamal Sellami;  Achraf Hakimi ;5;4;2025;;
Talgat Baisufinov;Ousmane Dembélé;5;4;2025;;
Benni Mccarthy; Mohamed Salah ;5;4;2025;;
